,자치구,역명,호선
0,강남구,삼성,2
1,강남구,선릉,2
2,강남구,역삼,2
3,강남구,강남,2
4,강남구,압구정,3
5,강남구,신사,3
6,강남구,매봉,3
7,강남구,도곡,3
8,강남구,대치,3
9,강남구,학여울,3
10,강남구,대청,3
11,강남구,일원,3
12,강남구,수서,3
13,강남구,청담,7
14,강남구,강남구청,7
15,강남구,학동,7
16,강남구,논현,7
17,강남구,언주,9
18,강남구,선정릉,9
19,강남구,삼성중앙,9
20,강남구,봉은사,9
21,강동구,천호,5
22,강동구,강동,5
23,강동구,길동,5
24,강동구,굽은다리,5
25,강동구,명일,5
26,강동구,고덕,5
27,강동구,상일동,5
28,강동구,둔촌동,5
29,강동구,강일,5
30,강동구,암사,5
31,강동구,천호,8
32,강동구,강동구청,8
33,강동구,둔촌오륜,9
34,강동구,중앙보훈병원,9
35,강북구,수유,4
36,강북구,미아,4
37,강북구,미아사거리,4
38,강서구,방화,5
39,강서구,개화산,5
40,강서구,김포공항,5
41,강서구,송정,5
42,강서구,마곡,5
43,강서구,발산,5
44,강서구,우장산,5
45,강서구,화곡,5
46,강서구,까치산,5
47,관악구,낙성대,2
48,관악구,서울대입구,2
49,관악구,봉천,2
50,관악구,신림,2
51,광진구,건대입구,2
52,광진구,구의,2
53,광진구,강변,2
54,광진구,군자,5
55,광진구,아차산,5
56,광진구,광나루,5
57,광진구,중곡,7
58,광진구,군자,7
59,광진구,어린이대공원,7
60,광진구,건대입구,7
61,광진구,뚝섬유원지,7
62,구로구,구로디지털단지,2
63,구로구,대림,2
64,구로구,신도림,2
65,구로구,도림천,2
66,구로구,남구로,7
67,구로구,천왕,7
68,구로구,온수,7
69,금천구,가산디지털단지,7
70,노원구,당고개,4
71,노원구,상계,4
72,노원구,노원,4
73,노원구,석계,6
74,노원구,태릉입구,6
75,노원구,화랑대,6
76,노원구,수락산,7
77,노원구,마들,7
78,노원구,노원,7
79,노원구,중계,7
80,노원구,하계,7
81,노원구,공릉,7
82,노원구,태릉입구,7
83,도봉구,창동,4
84,도봉구,쌍문,4
85,도봉구,도봉산,7
86,동대문구,신설동,1
87,동대문구,제기동,1
88,동대문구,청량리,1
89,동대문구,용두,2
90,동대문구,신설동,2
91,동대문구,장한평,5
92,동작구,사당,2
93,동작구,신대방,2
94,동작구,동작,4
95,동작구,이수,4
96,동작구,사당,4
97,동작구,이수,7
98,동작구,남성,7
99,동작구,숭실대입구,7
100,동작구,상도,7
101,동작구,장승배기,7
102,동작구,신대방삼거리,7
103,동작구,보라매,7
104,마포구,합정,2
105,마포구,홍대입구,2
106,마포구,신촌,2
107,마포구,이대,2
108,마포구,아현,2
109,마포구,마포,5
110,마포구,공덕,5
111,마포구,애오개,5
112,마포구,월드컵경기장,6
113,마포구,마포구청,6
114,마포구,망원,6
115,마포구,합정,6
116,마포구,상수,6
117,마포구,광흥창,6
118,마포구,대흥,6
119,마포구,공덕,6
120,서대문구,충정로,2
121,서대문구,홍제,3
122,서대문구,무악재,3
123,서대문구,독립문,3
124,서대문구,충정로,5
125,서초구,교대,2
126,서초구,서초,2
127,서초구,방배,2
128,서초구,잠원,3
129,서초구,고속터미널,3
130,서초구,교대,3
131,서초구,남부터미널,3
132,서초구,양재,3
133,서초구,남태령,4
134,서초구,반포,7
135,서초구,고속터미널,7
136,서초구,내방,7
137,성동구,상왕십리,2
138,성동구,왕십리,2
139,성동구,한양대,2
140,성동구,뚝섬,2
141,성동구,성수,2
142,성동구,용답,2
143,성동구,신답,2
144,성동구,금호,3
145,성동구,옥수,3
146,성동구,신금호,5
147,성동구,행당,5
148,성동구,왕십리,5
149,성동구,마장,5
150,성동구,답십리,5
151,성북구,길음,4
152,성북구,성신여대입구,4
153,성북구,한성대입구,4
154,성북구,보문,6
155,성북구,안암,6
156,성북구,고려대,6
157,성북구,월곡,6
158,성북구,상월곡,6
159,성북구,돌곶이,6
160,송파구,잠실나루,2
161,송파구,잠실,2
162,송파구,잠실새내,2
163,송파구,종합운동장,2
164,송파구,가락시장,3
165,송파구,경찰병원,3
166,송파구,오금,3
167,송파구,올림픽공원,5
168,송파구,방이,5
169,송파구,오금,5
170,송파구,개롱,5
171,송파구,거여,5
172,송파구,마천,5
173,송파구,몽촌토성,8
174,송파구,잠실,8
175,송파구,석촌,8
176,송파구,송파,8
177,송파구,가락시장,8
178,송파구,문정,8
179,송파구,장지,8
180,송파구,복정,8
181,송파구,종합운동장,9
182,송파구,삼전,9
183,송파구,석촌고분,9
184,송파구,석촌,9
185,송파구,송파나루,9
186,송파구,한성백제,9
187,송파구,올림픽공원,9
188,양천구,양천구청,2
189,양천구,신정네거리,2
190,양천구,신정,5
191,양천구,목동,5
192,양천구,오목교,5
193,영등포구,문래,2
194,영등포구,영등포구청,2
195,영등포구,당산,2
196,영등포구,양평,5
197,영등포구,영등포구청,5
198,영등포구,영등포시장,5
199,영등포구,신길,5
200,영등포구,여의도,5
201,영등포구,여의나루,5
202,영등포구,신풍,7
203,영등포구,대림,7
204,용산구,서울,4
205,용산구,숙대입구,4
206,용산구,삼각지,4
207,용산구,신용산,4
208,용산구,이촌,4
209,용산구,효창공원앞,6
210,용산구,삼각지,6
211,용산구,녹사평,6
212,용산구,이태원,6
213,용산구,한강진,6
214,은평구,구파발,3
215,은평구,연신내,3
216,은평구,불광,3
217,은평구,녹번,3
218,은평구,응암,6
219,은평구,역촌,6
220,은평구,불광,6
221,은평구,독바위,6
222,은평구,연신내,6
223,은평구,구산,6
224,은평구,새절,6
225,은평구,증산,6
226,은평구,디지털미디어시티,6
227,종로구,종각,1
228,종로구,종로3가,1
229,종로구,종로5가,1
230,종로구,동대문,1
231,종로구,동묘앞,1
232,종로구,경복궁,3
233,종로구,안국,3
234,종로구,종로3가,3
235,종로구,혜화,4
236,종로구,동대문,4
237,종로구,서대문,5
238,종로구,광화문,5
239,종로구,종로3가,5
240,종로구,동묘앞,6
241,종로구,창신,6
242,중구,서울,1
243,중구,시청,1
244,중구,시청,2
245,중구,을지로입구,2
246,중구,을지로3가,2
247,중구,을지로4가,2
248,중구,동대문역사문화공원,2
249,중구,신당,2
250,중구,을지로3가,3
251,중구,충무로,3
252,중구,동대입구,3
253,중구,약수,3
254,중구,동대문역사문화공원,4
255,중구,충무로,4
256,중구,명동,4
257,중구,회현,4
258,중구,을지로4가,5
259,중구,동대문역사문화공원,5
260,중구,청구,5
261,중구,버티고개,6
262,중구,약수,6
263,중구,청구,6
264,중구,신당,6
265,중랑구,봉화산,6
266,중랑구,신내,6
267,중랑구,먹골,7
268,중랑구,중화,7
269,중랑구,상봉,7
270,중랑구,면목,7
271,중랑구,사가정,7
272,중랑구,용마산,7
